brand,description,image_urls,images,name,product_url,sku
Kinder Ice Cream,"Now in Ice Cream! Kinder lovers can rejoice as the deliciousness of Kinder Bueno is finally available in ice cream. Working together, Walls and Kinder have created the unique taste of Kinder Bueno in a mouth-watering ice cream cone! Kinder Bueno Ice Cream Cones are made with creamy hazelnut ice cream. On top is a tasty hazelnut disk made from carefully selected and roasted hazelnuts and topped with chocolate pieces. Inside the cone there is a delicious a filling of milk chocolate sauce. This is a perfect treat! This product is sold as a multipack. It contains four delicious Kinder Bueno Cones each 90 ml. If you would like to find out more, you can find Kinder ice cream on our website www. icecreamjoy. com, or you can contact us on our careline e-mail UKIcare@unilever. com or give us a call on careline phone 0800 731 1507 You may also enjoy the other ice cream products in the Kinder range. The Kinder Ice Cream Stick is a milk ice cream stick and coated with milk chocolate. The Kinder Ice Cream Sandwich is made with milk ice cream, nestled between two delicious biscuits made of five cereals. Both of these products are designed to be responsibly made for kids. Store at -18ºC",,,Kinder Bueno Ice Cream Cones 4 X 90ML,https://www.carrefour.it/p/kinder-bueno-ice-cream-cone-4-x-60-g/8714100896006.html,8714100896006
Cerelac,Cerelac Stage 2 Wheat Honey 300 Grams,,,Cerelac Stage 2 Wheat Honey,,8901058815184
Florette,,,,Florette Fresh Caesar Dressing,,3280220741120
Enlarge Image W / Dale,Wensleydale Creamery Wensleydale Blue Cheese,,,Wensleydale Creamery Wensleydale Blue Cheese,,5025960004382
,,,,Babycham Sparkling Perry,,5010186012860
Knorr,"British Knorr Chicken Stock Cubes 12 x 8 Sachets. 12 x 8 Sachets Of Knorr Chicken Stock Cubes. Ingredients: Salt, Potato Starch, Vegetable Fats (Palm, Shea Butter, Sal, Butter), Yeast Extract, Sugar, Chicken Fat (2%), Chicken (1%), Spices (Turmeric, Pepper, Celery Seeds), Flavourings, Onion Powder, Maltodextrin, Lemon Juice Powder, Parsley, Caramel Syrup, Antioxidant (Extracts of Rosemary). ** Please note this is a special order product, which is not held at our premises. Please allow approximately 2 working days for this item to arrive with us. This item is not available on a next working day delivery service. **",,,Knorr Chicken Stock Cubes 8 X 10G (12 X 8X10G),https://www.cateringpacks.co.uk/product/knorr-chicken-stock-cubes-8-x-10g/,5000118080166
Widdop Bingham & Co,"Happy 30th Birthday Champagne Glass - These champagne glasses are a nice gift for someone on their birthday, because everyone needs a birthday glass right. This Champagne glass has Happy Birthday printed across the front. Not machine washable.",,,Birthdays By Juliana - Champagne Flute - 30TH Birthday,,5017224452947
,,,,Of the Heart Mirror Plaque - Dad By Juliana,,5017224637696
CK / BSKT,Cake Basket Lemon Loaf Cake,,,Cake Basket Lemon Loaf Cake,,5050360001761
Bernard Matthews,"Keep refrigerated. Store at below 5°C, once opened use within 2 days. Do not exceed use by date on front of pack. Keep Refrigerated",,,Bernard Matthews Turkey Ham Wafer Thin 120G,,5010236153567
,,,,Chair De Noix De Coco Au Sirop Léger,https://www.amasia.fr/fr/epicerie-thailandaise/2800-chair-de-noix-de-coco-au-sirop-leger-425g.html,8851011133285
Inspired,"Harringtons Chicken Adult Cat Food is a complete pet food for all cats from 8 weeks onwards. Containing freshly prepared chicken, it is a good source of protein for energy, growth and repair. The recipe has been carefully formulated to provide wholesome nutrition for your cat and contains no artificial colours/ flavours, no dairy, no soya, no added wheat. Barcode: &emsp; Manufacturer: Inspired &emsp; MPN: HARRCATCN-C2 &emsp; Product ID: 257407",,,Harringtons Cat Dry Adult Chicken 2KG,https://www.petthings.co.uk/harringtons-cat-dry-adult-chicken-2kg.html,5013919003883
,"Our peas are even tastier when steamed in the microwave. Just add water and a pinch of sugar Storage: Store in a freezer at -18°C or cooler More Information: A serving contains the following of your guideline daily amount Guideline Daily Amount SummaryCalories 55, 3% of your GDA",,,Garden Peas 900g,,5000116101504
Tennent's,Best Before End: See Base of Can.,,,Tennent's Special Ale,,5391516930079
,TRANSCRIPTIONS FOR PIANO Transcriptions for Piano (CD),,,Transcriptions For Piano (CD),https://www.walmart.com/ip/Transcriptions-for-Piano-CD/920372423,50228072
Wagg,Units Per Pack: 5Inner EAN: Outer EAN: 5013919010843Net Weight: 5Gross Weight: 5. 1Pallet Qty: 60Pre-Priced: NHS Code:,,,Wagg Hay For Small Animals,,5013919000615
